World Rank,University Name,Country,National Rank,Total Score
282,University of Muenster,DE,10-19,
283,University of Naples Federico II,IT,5-8,
284,University of Nebraska  Lincoln,US,62-82,
285,University of Ottawa,CA,8-11,
286,University of Porto,PT,1-2,
287,University of Rochester,US,62-82,
288,University of Sussex,GB,21-25,
289,University of Tasmania,AU,9-15,
290,University of Technology Sydney,AU,9-15,
291,University of Tennessee  Knoxville,US,62-82,
292,University of Tsukuba,JP,6-8,
293,University of Turin,IT,5-8,
294,University of Virginia,US,62-82,
295,University of Wollongong,AU,9-15,
296,University of Wuerzburg,DE,10-19,
297,Virginia Commonwealth University,US,62-82,
298,Virginia Polytechnic Institute and State University,US,62-82,
299,Wuhan University of Technology,CN,33-50,
300,Yonsei University,KR,3-7,
301,Aalborg University,DK,4-5,
302,Aalto University,FI,2-3,
303,Autonomous University of Barcelona,ES,3-7,
304,Autonomous University of Madrid,ES,3-7,
305,Beijing University of Technology,CN,51-68,
306,Brandeis University,US,83-99,
307,Cairo University,EG,1,
308,Charles University in Prague,CZ,1,
309,China University of Geosciences Beijing,CN,51-68,
310,Colorado State University,US,83-99,
311,Complutense University of Madrid,ES,3-7,
312,Dalhousie University,CA,12-17,
313,Dartmouth College,US,83-99,
314,Durham University,GB,26-33,
315,East China University of Science and Technology,CN,51-68,
316,Flinders University,AU,16-22,
317,Griffith University,AU,16-22,
318,Guangdong University of Technology,CN,51-68,
319,Guangxi University,CN,51-68,
320,Heinrich Heine University Duesseldorf,DE,20-24,
321,The Hong Kong University of Science and Technology,HK,5,
322,Huazhong Agricultural University,CN,51-68,
323,Indian Institute of Science,IN,1,
324,Indiana UniversityPurdue University at Indianapolis,US,83-99,
325,Institut Polytechnique de Paris,FR,13-16,
326,James Cook University,AU,16-22,
327,Jiangnan University,CN,51-68,
328,Karlsruhe Institute of Technology KIT,DE,20-24,
329,Keio University,JP,9-11,
330,Kyushu University,JP,9-11,
331,La Trobe University,AU,16-22,
332,Lancaster University,GB,26-33,
333,Laval University,CA,12-17,
334,Linkoping University,SE,7-8,
335,Nanchang University,CN,51-68,
336,Nanjing Agricultural University,CN,51-68,
337,Nanjing University of Aeronautics and Astronautics,CN,51-68,
338,Nanjing University of Information Science  Technology,CN,51-68,
339,Nanjing University of Science and Technology,CN,51-68,
340,National Cheng Kung University NCKU,TW,3,
341,Northeastern University Shenyang,CN,51-68,
342,Northwest AF University,CN,51-68,
343,Ocean University of China,CN,51-68,
344,Okinawa Institute of Science and Technology Graduate University,JP,9-11,
345,Paul Sabatier University Toulouse ,FR,13-16,
346,Pohang University of Science and Technology,KR,8,
347,Pompeu Fabra University,ES,3-7,
348,Princess Nourah bint Abdulrahman University,SA,5,
349,Queens University Belfast,GB,26-33,
350,Queensland University of Technology,AU,16-22,
351,RMIT University,AU,16-22,
352,ShanghaiTech University,CN,51-68,
353,Simon Fraser University,CA,12-17,
354,University at Buffalo the State University of New York,US,83-99,
355,Stony Brook University,US,83-99,
356,Swedish University of Agricultural Sciences,SE,7-8,
357,The University of Georgia,US,83-99,
358,The University of Reading,GB,26-33,
359,UNESP,BR,2,
360,National and Kapodistrian University of Athens,GR,1,
361,University College Cork,IE,2-3,
362,University College Dublin,IE,2-3,
363,University of Belgrade,RS,1,
364,University of Bergen,NO,3,
365,University of Bochum,DE,20-24,
366,University of Central Florida,US,83-99,
367,University of Connecticut,US,83-99,
